Price (Target),Brand,CPU_Tier,CPU_Gen,RAM_GB,Storage_GB,Storage_Type,Has_Dedicated_GPU,Condition,Location,Is_Member
109000.0,HP,Core i5,10,16.0,256.0,SSD,0,Used,Colombo,1
59000.0,Other,Core i5,8,8.0,128.0,SSD,0,Used,Colombo,1
125000.0,HP,Core i5,12,16.0,256.0,NVMe SSD,0,Used,Colombo,1
126000.0,HP,Core i5,11,,,Unknown/eMMC,0,Used,Colombo,1
110500.0,Lenovo,Core i5,13,,,Unknown/eMMC,0,Used,Colombo,1
29300.0,Other,Core i3,2,,,Unknown/eMMC,1,Used,Colombo,1
260500.0,MSI,Core Ultra 7,Unknown,,,Unknown/eMMC,0,Used,Colombo,1
78500.0,Dell,Core i5,8,,,Unknown/eMMC,0,Used,Colombo,1
25000.0,Other,Core i5,Unknown,,,Unknown/eMMC,0,Used,Gampaha,0
56000.0,Dell,Core i5,5,,,Unknown/eMMC,0,Used,Colombo,1
92000.0,Lenovo,Core i5,8,,,Unknown/eMMC,0,Used,Kandy,1
110500.0,Lenovo,Core i5,13,,,Unknown/eMMC,0,Used,Colombo,1
112500.0,Dell,Core i5,10,,,Unknown/eMMC,0,Used,Colombo,1
110500.0,Asus,Core i5,13,,,Unknown/eMMC,0,Used,Colombo,1
134999.0,Other,Unknown,Unknown,5.0,256.0,Unknown/eMMC,0,New,Colombo,1
100500.0,Lenovo,Core i7,8,,,Unknown/eMMC,0,Used,Colombo,1
65000.0,Lenovo,Unknown,Unknown,,,Unknown/eMMC,0,New,Colombo,0
44000.0,Dell,Core i5,4,,,Unknown/eMMC,0,Used,Kandy,1
80000.0,Other,Unknown,Unknown,4.0,,Unknown/eMMC,0,Used,Kandy,0
260500.0,MSI,Core Ultra 7,Unknown,,,Unknown/eMMC,0,Used,Colombo,1
110500.0,Lenovo,Core i5,13,,,Unknown/eMMC,0,Used,Colombo,1
110000.0,Lenovo,Core i5,13,,,Unknown/eMMC,0,Used,Colombo,1
110000.0,Asus,Core i5,13,,,Unknown/eMMC,0,Used,Colombo,1
151000.0,HP,Core i5,12,,,Unknown/eMMC,0,Used,Colombo,1
660000.0,Apple,Apple M2,Unknown,32.0,,Unknown/eMMC,0,Used,Colombo,0
73500.0,Dell,Core i7,8,,,Unknown/eMMC,0,Used,Colombo,1
125000.0,HP,Core i5,12,16.0,256.0,NVMe SSD,0,Used,Colombo,1
88000.0,Lenovo,Core i5,10,,,Unknown/eMMC,0,Used,Colombo,1
239500.0,HP,Core i5,13,6.0,,Unknown/eMMC,1,Used,Colombo,1
387990.0,Asus,Core i9,Unknown,8.0,1024.0,Unknown/eMMC,1,New,Colombo,1
125000.0,HP,Core i5,12,16.0,256.0,NVMe SSD,0,Used,Colombo,1
115000.0,HP,Unknown,Unknown,,,Unknown/eMMC,0,Used,Colombo,0
324500.0,Asus,Core Ultra 7,Unknown,16.0,,Unknown/eMMC,0,New,Colombo,1
60000.0,Other,Core i5,4,6.0,,Unknown/eMMC,1,Used,Puttalam,0
60000.0,Other,Unknown,Unknown,,,Unknown/eMMC,0,Used,Puttalam,0
105000.0,Dell,Core i7,11,8.0,256.0,SSD,0,Used,Colombo,1
81000.0,Acer,Core i5,11,,,Unknown/eMMC,0,Used,Colombo,1
17000.0,Samsung,Core i5,2,4.0,500.0,HDD,0,Used,Colombo,1
44500.0,HP,Celeron,Unknown,500.0,500.0,Unknown/eMMC,0,Used,Kegalle,0
125000.0,Lenovo,Core i7,8,16.0,512.0,SSD,0,Used,Colombo,1
127990.0,Dell,Core i7,11,16.0,512.0,NVMe SSD,0,Used,Colombo,1
34500.0,Other,Core i5,6,4.0,,HDD,0,Used,Gampaha,1
38990.0,Other,Core i3,8,4.0,256.0,NVMe SSD,0,Used,Colombo,0
90000.0,HP,Core i7,Unknown,16.0,512.0,SSD,0,Used,Kandy,0
128000.0,HP,Core i5,8,32.0,256.0,SSD,0,Used,Colombo,0
28900.0,Other,Core i3,6,4.0,500.0,HDD,0,Used,Gampaha,1
158000.0,Apple,Unknown,Unknown,,,Unknown/eMMC,0,Used,Colombo,0
18000.0,HP,Core i3,Unknown,,,Unknown/eMMC,0,Used,Batticaloa,0
119500.0,Other,Ryzen 5,Unknown,16.0,512.0,NVMe SSD,0,Used,Colombo,1
79500.0,Lenovo,Ryzen 3,Unknown,16.0,,Unknown/eMMC,1,Used,Colombo,1
74500.0,Dell,Core i5,Unknown,,,Unknown/eMMC,0,Used,Jaffna,1
140000.0,HP,Unknown,13,,,Unknown/eMMC,0,Used,Gampaha,0
44950.0,Other,Core i5,9,8.0,500.0,HDD,0,Used,Gampaha,1
97500.0,Other,Core i5,11,16.0,,Unknown/eMMC,0,Used,Colombo,1
157900.0,Asus,Core i5,13,12.0,256.0,SSD,0,New,Colombo,1
47950.0,Other,Core i5,10,8.0,500.0,HDD,0,Used,Colombo,1
99500.0,HP,Core i5,11,8.0,256.0,NVMe SSD,0,Used,Colombo,1
315000.0,Asus,Ryzen 7,Unknown,6.0,,Unknown/eMMC,1,New,Colombo,1
98900.0,HP,Core i5,11,8.0,256.0,NVMe SSD,0,Used,Colombo,1
140000.0,HP,Unknown,13,,,Unknown/eMMC,0,Used,Gampaha,0
44950.0,Other,Core i5,9,8.0,500.0,HDD,0,Used,Gampaha,1
97500.0,Other,Core i5,11,16.0,,Unknown/eMMC,0,Used,Colombo,1
157900.0,Asus,Core i5,13,12.0,256.0,SSD,0,New,Colombo,1
47950.0,Other,Core i5,10,8.0,500.0,HDD,0,Used,Colombo,1
109500.0,Other,Core i7,11,32.0,,Unknown/eMMC,0,Used,Colombo,1
72000.0,HP,Ryzen 3,Unknown,8.0,500.0,Unknown/eMMC,0,Used,Colombo,1
132996.0,Samsung,Unknown,Unknown,256.0,256.0,Unknown/eMMC,0,Used,Colombo,1
44000.0,Lenovo,Celeron,Unknown,4.0,,SSD,0,Used,Galle,0
115000.0,Other,Core i5,12,16.0,,Unknown/eMMC,0,Used,Colombo,1
95000.0,Other,Core i7,8,16.0,,Unknown/eMMC,0,Used,Colombo,1
119500.0,Other,Unknown,Unknown,128.0,128.0,Unknown/eMMC,0,Used,Colombo,0
395000.0,Asus,Core i7,14,8.0,,Unknown/eMMC,1,Used,Colombo,0
115000.0,Dell,Core i7,11,32.0,512.0,NVMe SSD,0,Used,Colombo,1
80000.0,Samsung,Unknown,Unknown,128.0,128.0,Unknown/eMMC,0,Used,Colombo,0
99500.0,Dell,Core i5,11,16.0,,Unknown/eMMC,0,Used,Colombo,1
170000.0,Apple,Apple M1,Unknown,,,Unknown/eMMC,0,Used,Colombo,0
35000.0,Acer,Core i3,8,,,Unknown/eMMC,0,Used,Ampara,0
64500.0,Dell,Core i7,8,,,Unknown/eMMC,0,Used,Colombo,1
260500.0,MSI,Core Ultra 7,Unknown,,,Unknown/eMMC,0,Used,Colombo,1
120000.0,Lenovo,Core i5,13,,,Unknown/eMMC,0,Used,Colombo,1
65000.0,Lenovo,Unknown,Unknown,,,Unknown/eMMC,0,Used,Gampaha,0
289000.0,Apple,Apple M4,Unknown,,,Unknown/eMMC,0,Used,Colombo,1
351000.0,Other,Core i5,14,,,Unknown/eMMC,0,Used,Kandy,1
35000.0,Dell,Core i3,Unknown,,,Unknown/eMMC,0,Used,Batticaloa,0
17990.0,Dell,Unknown,Unknown,,,Unknown/eMMC,0,Used,Matara,1
178000.0,HP,Core Ultra 5,Unknown,512.0,512.0,SSD,0,New,Colombo,1
178000.0,HP,Core Ultra 5,Unknown,512.0,512.0,SSD,0,New,Colombo,1
18000.0,HP,Core i3,Unknown,,,Unknown/eMMC,0,Used,Batticaloa,0
119500.0,Other,Ryzen 5,Unknown,16.0,512.0,NVMe SSD,0,Used,Colombo,1
79500.0,Lenovo,Ryzen 3,Unknown,16.0,,Unknown/eMMC,1,Used,Colombo,1
74500.0,Dell,Core i5,Unknown,,,Unknown/eMMC,0,Used,Jaffna,1
140000.0,HP,Unknown,13,,,Unknown/eMMC,0,Used,Gampaha,0
44950.0,Other,Core i5,9,8.0,500.0,HDD,0,Used,Gampaha,1
97500.0,Other,Core i5,11,16.0,,Unknown/eMMC,0,Used,Colombo,1
157900.0,Asus,Core i5,13,12.0,256.0,SSD,0,New,Colombo,1
47950.0,Other,Core i5,10,8.0,500.0,HDD,0,Used,Colombo,1
109500.0,Other,Core i7,11,32.0,,Unknown/eMMC,0,Used,Colombo,1
72000.0,HP,Ryzen 3,Unknown,8.0,500.0,Unknown/eMMC,0,Used,Colombo,1
132996.0,Samsung,Unknown,Unknown,256.0,256.0,Unknown/eMMC,0,Used,Colombo,1
44000.0,Lenovo,Celeron,Unknown,4.0,,SSD,0,Used,Galle,0
115000.0,Other,Core i5,12,16.0,,Unknown/eMMC,0,Used,Colombo,1
95000.0,Other,Core i7,8,16.0,,Unknown/eMMC,0,Used,Colombo,1
119500.0,Other,Unknown,Unknown,128.0,128.0,Unknown/eMMC,0,Used,Colombo,0
395000.0,Asus,Core i7,14,8.0,,Unknown/eMMC,1,Used,Colombo,0
115000.0,Dell,Core i7,11,32.0,512.0,NVMe SSD,0,Used,Colombo,1
80000.0,Samsung,Unknown,Unknown,128.0,128.0,Unknown/eMMC,0,Used,Colombo,0
99500.0,Dell,Core i5,11,16.0,,Unknown/eMMC,0,Used,Colombo,1
170000.0,Apple,Apple M1,Unknown,,,Unknown/eMMC,0,Used,Colombo,0
35000.0,Acer,Core i3,8,,,Unknown/eMMC,0,Used,Ampara,0
64500.0,Dell,Core i7,8,,,Unknown/eMMC,0,Used,Colombo,1
260500.0,MSI,Core Ultra 7,Unknown,,,Unknown/eMMC,0,Used,Colombo,1
120000.0,Lenovo,Core i5,13,,,Unknown/eMMC,0,Used,Colombo,1
75000.0,Dell,Core i5,10,8.0,256.0,SSD,0,Used,Gampaha,1
399000.0,MSI,Core i7,14,16.0,512.0,Unknown/eMMC,1,Used,Colombo,1
157990.0,Asus,Core i5,13,12.0,256.0,SSD,0,New,Colombo,1
65000.0,Lenovo,Unknown,Unknown,,,Unknown/eMMC,0,Used,Gampaha,0
289000.0,Apple,Apple M4,Unknown,,,Unknown/eMMC,0,Used,Colombo,1
351000.0,Other,Core i5,14,,,Unknown/eMMC,0,Used,Kandy,1
35000.0,Dell,Core i3,Unknown,,,Unknown/eMMC,0,Used,Batticaloa,0
499900.0,Apple,Unknown,Unknown,16.0,512.0,Unknown/eMMC,0,Used,Colombo,1
87990.0,Other,Unknown,Unknown,16.0,256.0,Unknown/eMMC,0,Used,Gampaha,1
57000.0,Dell,Core i5,3,,,Unknown/eMMC,0,Used,Hambantota,0
85000.0,Apple,Unknown,11,128.0,128.0,Unknown/eMMC,0,Used,Colombo,0
45000.0,Other,Unknown,Unknown,8.0,128.0,Unknown/eMMC,0,Used,Gampaha,1
47500.0,Other,Unknown,Unknown,24.0,128.0,Unknown/eMMC,0,Used,Gampaha,1
164000.0,Other,Unknown,Unknown,12.0,256.0,Unknown/eMMC,0,Used,Colombo,1
139000.0,Dell,Core i5,11,16.0,1024.0,NVMe SSD,0,Used,Kalutara,0
206000.0,Other,Unknown,Unknown,5.0,256.0,Unknown/eMMC,0,Used,Colombo,1
29000.0,HP,Core i3,6,4.0,500.0,HDD,0,Used,Colombo,1
132000.0,Other,Unknown,Unknown,8.0,128.0,Unknown/eMMC,0,Used,Colombo,1
126000.0,Other,Unknown,Unknown,5.0,128.0,Unknown/eMMC,0,Used,Colombo,1
183000.0,HP,Core Ultra 5,14,8.0,512.0,SSD,0,New,Colombo,1
103000.0,Other,Unknown,Unknown,8.0,128.0,Unknown/eMMC,0,Used,Colombo,1
236000.0,HP,Core i5,13,6.0,,Unknown/eMMC,1,New,Colombo,1
89500.0,Other,Core i7,9,16.0,,Unknown/eMMC,0,Used,Colombo,1
234000.0,Apple,Apple M2,Unknown,,,Unknown/eMMC,0,Used,Colombo,0
35000.0,Asus,Core i3,4,,,Unknown/eMMC,0,Used,Colombo,0
10500.0,Other,Unknown,Unknown,,,Unknown/eMMC,0,Used,Kalutara,0
129000.0,Other,Unknown,Unknown,5.0,256.0,Unknown/eMMC,0,Used,Colombo,1
76000.0,Dell,Core i7,8,8.0,240.0,NVMe SSD,0,Used,Gampaha,1
29500.0,Samsung,Core i5,3,500.0,500.0,SSD,0,Used,Jaffna,1
149990.0,HP,Ryzen 3,13,8.0,512.0,Unknown/eMMC,0,New,Colombo,1
99990.0,HP,Core i5,11,8.0,256.0,NVMe SSD,0,Used,Colombo,1
76000.0,Dell,Core i7,8,8.0,240.0,NVMe SSD,0,Used,Gampaha,1
94000.0,Other,Unknown,Unknown,5.0,128.0,Unknown/eMMC,0,Used,Colombo,1
75500.0,Other,Unknown,Unknown,4.0,128.0,Unknown/eMMC,0,Used,Colombo,1
49900.0,Other,Core i5,8,8.0,128.0,SSD,0,Used,Colombo,1
5500.0,Huawei,Unknown,Unknown,,,Unknown/eMMC,0,Used,Colombo,0
160000.0,Asus,Ryzen 5,Unknown,,,Unknown/eMMC,0,Used,Galle,0
135000.0,Asus,Ryzen 5,Unknown,,,Unknown/eMMC,1,Used,Batticaloa,0
298000.0,Asus,Unknown,Unknown,,,Unknown/eMMC,0,Used,Gampaha,0
79900.0,Other,Unknown,Unknown,5.0,256.0,Unknown/eMMC,0,Used,Colombo,1
67950.0,Dell,Core i5,8,8.0,256.0,NVMe SSD,0,Used,Gampaha,1
729990.0,Apple,Apple M4,Unknown,512.0,512.0,Unknown/eMMC,0,Used,Colombo,1
245500.0,HP,Core i7,Unknown,,,Unknown/eMMC,0,Used,Gampaha,1
135000.0,HP,Core i3,Unknown,,,Unknown/eMMC,0,Used,Gampaha,1
54500.0,Other,Unknown,Unknown,8.0,128.0,Unknown/eMMC,0,Used,Colombo,1
175000.0,Other,Core i5,11,,,Unknown/eMMC,0,Used,Kurunegala,0
615990.0,Apple,Apple M4,Unknown,512.0,512.0,Unknown/eMMC,0,Used,Colombo,1
168900.0,Asus,Ryzen 5,Unknown,16.0,,Unknown/eMMC,0,New,Colombo,1
569990.0,Apple,Unknown,Unknown,,1024.0,Unknown/eMMC,0,Used,Colombo,1
24950.0,Other,Core i5,4,8.0,500.0,HDD,0,Used,Gampaha,1
68000.0,Other,Core i5,73,8.0,256.0,NVMe SSD,0,Used,Colombo,1
507990.0,Apple,Unknown,Unknown,,1024.0,Unknown/eMMC,0,Used,Colombo,1
45000.0,Lenovo,Pentium,Unknown,8.0,128.0,NVMe SSD,0,Used,Colombo,1
159000.0,Asus,Core i5,13,12.0,256.0,SSD,0,New,Colombo,1
20500.0,Other,Core i3,4,500.0,500.0,HDD,0,Used,Colombo,1
66950.0,Samsung,Unknown,Unknown,8.0,128.0,Unknown/eMMC,0,New,Colombo,1
29500.0,Samsung,Core i5,3,500.0,500.0,SSD,0,Used,Jaffna,1
109990.0,Dell,Core i7,11,16.0,256.0,Unknown/eMMC,0,Used,Colombo,1
72500.0,Lenovo,Core i3,11,,,Unknown/eMMC,0,Used,Colombo,1
349990.0,Other,Apple M4,Unknown,256.0,256.0,Unknown/eMMC,0,Used,Colombo,1
145600.0,Samsung,Unknown,Unknown,8.0,128.0,Unknown/eMMC,0,Used,Colombo,1
210000.0,Asus,Core i7,9,8.0,,Unknown/eMMC,1,Used,Ampara,0
17000.0,Lenovo,Unknown,Unknown,3.0,,Unknown/eMMC,0,Used,Colombo,1
268990.0,HP,Core i5,13,,,Unknown/eMMC,1,New,Colombo,1
427990.0,Other,Apple M4,Unknown,512.0,512.0,Unknown/eMMC,0,Used,Colombo,1
49000.0,Other,Unknown,Unknown,8.0,128.0,Unknown/eMMC,0,Used,Colombo,1
75000.0,Dell,Unknown,Unknown,,,Unknown/eMMC,0,Used,Kandy,0
44000.0,Other,Unknown,Unknown,4.0,,Unknown/eMMC,0,Used,Colombo,1
65000.0,Other,Unknown,Unknown,5.0,,Unknown/eMMC,0,Used,Colombo,1
360990.0,Other,Apple M4,Unknown,512.0,512.0,Unknown/eMMC,0,Used,Colombo,1
22000.0,Samsung,Unknown,Unknown,3.0,,Unknown/eMMC,0,Used,Colombo,1
237990.0,Lenovo,Core i5,16,8.0,512.0,SSD,0,Used,Colombo,1
59500.0,Other,Unknown,Unknown,8.0,128.0,Unknown/eMMC,0,Used,Colombo,1
42000.0,Other,Unknown,Unknown,4.0,,Unknown/eMMC,0,Used,Colombo,1
40000.0,Apple,Unknown,Unknown,,,Unknown/eMMC,0,Used,Colombo,0
208000.0,Asus,Unknown,14,8.0,512.0,Unknown/eMMC,0,New,Colombo,1
169000.0,Asus,Ryzen 5,Unknown,8.0,512.0,NVMe SSD,0,Used,Colombo,1
288990.0,Other,Apple M4,Unknown,256.0,256.0,Unknown/eMMC,0,Used,Colombo,1
380000.0,Other,Core i9,13,,,Unknown/eMMC,0,Used,Gampaha,0
110000.0,Dell,Core i7,10,,,Unknown/eMMC,0,Used,Colombo,1
30000.0,Other,Unknown,Unknown,,,Unknown/eMMC,0,Used,Kurunegala,0
32000.0,Other,Core i3,2,8.0,128.0,SSD,0,Used,Colombo,1
43500.0,Other,Core i7,4,8.0,128.0,SSD,0,Used,Colombo,1
38500.0,Other,Core i5,4,8.0,128.0,SSD,0,Used,Colombo,1
236000.0,HP,Core i5,13,6.0,,Unknown/eMMC,1,New,Colombo,1
200000.0,Microsoft,Unknown,Unknown,,,Unknown/eMMC,0,Used,Colombo,0
148500.0,Dell,Core i7,12,,,Unknown/eMMC,0,Used,Colombo,1
82000.0,Acer,Core i3,Unknown,,,Unknown/eMMC,0,Used,Kalutara,1
236000.0,HP,Core i5,13,,,Unknown/eMMC,1,New,Colombo,1
67000.0,Other,Unknown,Unknown,128.0,128.0,Unknown/eMMC,0,Used,Hambantota,0
39999.0,Asus,Core i5,6,8.0,500.0,SSD,0,Used,Kandy,1
34999.0,Asus,Core i5,6,,,SSD,0,Used,Kandy,1
179000.0,HP,Core Ultra 5,14,8.0,,Unknown/eMMC,0,New,Colombo,1
9500.0,Huawei,Unknown,Unknown,,,Unknown/eMMC,0,Used,Kurunegala,0
34999.0,Other,Core i5,6,8.0,500.0,HDD,0,Used,Kandy,1
155450.0,HP,Core i3,13,8.0,512.0,NVMe SSD,0,Used,Kalutara,1
29999.0,Other,Core i5,6,,,Unknown/eMMC,0,Used,Kandy,1
176000.0,Dell,Core i5,13,8.0,512.0,NVMe SSD,0,New,Colombo,1
29999.0,Other,Core i7,3,4.0,500.0,HDD,0,Used,Kandy,1
