Title,Price,Location_Category,Link,Member
"HP Elitebook X360 830 G7 Core i5 10th Gen 16GB RAM 256GB SSD 13"" use lap","Rs 109,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/hp-elitebook-x360-830-g7-core-i5-10th-gen-16gb-ram-256gb-ssd-13-use-lap-for-sale-colombo-1,True
Assemble Pc i5 8th gen 8GB Ram 128GB SSD 500GB HDD Full set,"Rs 59,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/assemble-pc-i5-8th-gen-8gb-ram-128gb-ssd-500gb-hdd-full-set-for-sale-colombo,True
"HP Elitebook 640 G9 core i5 12th Gen 16GB RAM 256GB NVMe 14"" used laptop","Rs 125,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/hp-elitebook-640-g9-core-i5-12th-gen-16gb-ram-256gb-nvme-14-used-laptop-for-sale-colombo-7,True
HP EliteBook 840 G8 - i5 11th Gen,"Rs 126,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/hp-elitebook-840-g8-i5-11th-gen-for-sale-colombo-36,True
Lenovo i5 13th Gen Laptop,"Rs 110,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/lenovo-i5-13th-gen-laptop-for-sale-colombo-359,True
INTEL CORE I3 2ND GEN GAMING PC WITH GTX650 1GB VGA,"Rs 29,300","Colombo, Computers & Tablets",https://ikman.lk/en/ad/intel-core-i3-2nd-gen-gaming-pc-with-gtx650-1gb-vga-for-sale-colombo-10,True
MSI Core Ultra 7 155h Laptop,"Rs 260,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/msi-core-ultra-7-155h-laptop-for-sale-colombo-21,True
Dell Latitude 7490 - i5 8th Gen Laptop,"Rs 78,500","Colombo, Computers & Tablets",https://ikman.lk/en/ad/dell-latitude-7490-i5-8th-gen-laptop-for-sale-colombo-24,True
i5 Laptop,"Rs 25,000","Gampaha, Computers & Tablets",https://ikman.lk/en/ad/i5-laptop-ideal-for-students-for-sale-gampaha-1,False
Dell Latitude E5450 i5 5th Gen Laptop,"Rs 56,000","Colombo, Computers & Tablets",https://ikman.lk/en/ad/dell-latitude-e5450-i5-5th-gen-laptop-for-sale-colombo-6,True
